,regular_datetime,accruedToTreasury,availableLiquidity,averageStableBorrowRate,liquidityIndex,liquidityRate,priceInEth,priceInUsd,stableBorrowRate,timestamp,totalATokenSupply,totalCurrentVariableDebt,totalLiquidity,totalPrincipalStableDebt,totalScaledVariableDebt,utilizationRate,variableBorrowIndex,variableBorrowRate,reserve_decimals,reserve_name,reserve_pool,true_value
42,2023-01-29 02:00:00+00:00,5.174631036361379,60243.20101499926,0.0,1.000335914599383,0.0247712237499925,99989472.0,99989472.0,0.0546371109965247,1674952679.0,235765.74319277235,175528.1990208689,235716.796590981,0.0,175451.58919963526,0.7444255,1.0004356127253593,0.037096887972198,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
43,2023-01-29 03:00:00+00:00,5.174631036361379,60243.20101499926,0.0,1.000335914599383,0.0247712237499925,99989472.0,99989472.0,0.0546371109965247,1674952679.0,235765.74319277235,175528.1990208689,235716.796590981,0.0,175451.58919963526,0.7444255,1.0004356127253593,0.037096887972198,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
44,2023-01-29 04:00:00+00:00,5.174631036361379,60243.20101499926,0.0,1.000335914599383,0.0247712237499925,99989472.0,99989472.0,0.0546371109965247,1674952679.0,235765.74319277235,175528.1990208689,235716.796590981,0.0,175451.58919963526,0.7444255,1.0004356127253593,0.037096887972198,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
45,2023-01-29 05:00:00+00:00,5.174631036361379,60243.20101499926,0.0,1.000335914599383,0.0247712237499925,99989472.0,99989472.0,0.0546371109965247,1674952679.0,235765.74319277235,175528.1990208689,235716.796590981,0.0,175451.58919963526,0.7444255,1.0004356127253593,0.037096887972198,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
46,2023-01-29 06:00:00+00:00,5.174631036361379,60243.20101499926,0.0,1.000335914599383,0.0247712237499925,99989472.0,99989472.0,0.0546371109965247,1674952679.0,235765.74319277235,175528.1990208689,235716.796590981,0.0,175451.58919963526,0.7444255,1.0004356127253593,0.037096887972198,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
47,2023-01-29 07:00:00+00:00,5.174631036361379,58737.348298241,0.0,1.000336602920071,0.0249415857988747,99998523.0,99998523.0,0.0546530293484007,1674978839.0,235765.90531300617,177039.47187773883,235716.796590981,0.0,176956.73820481542,0.7508139,1.0004366436438856,0.037224234787206,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
48,2023-01-29 08:00:00+00:00,5.174631036361379,58737.348298241,0.0,1.000336602920071,0.0249415857988747,99998523.0,99998523.0,0.0546530293484007,1674978839.0,235765.90531300617,177039.47187773883,235716.796590981,0.0,176956.73820481542,0.7508139,1.0004366436438856,0.037224234787206,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
49,2023-01-29 09:00:00+00:00,6.159153870555668,128737.348098241,0.0,1.0003633357932578,0.0150850540507357,100055642.0,100055642.0,0.0536186551334158,1674986339.0,305772.201709019,177040.8783204382,305716.79659098096,0.0,176956.73840472038,0.57889998,1.000476469182958,0.0289492410673269,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
50,2023-01-29 10:00:00+00:00,6.159153870555668,58737.34287472533,0.0,1.0003634104420227,0.0253718710406116,100055642.0,100055642.0,0.0546929940988288,1674986495.0,235772.21928758096,177040.8783204382,235716.7913674653,0.0,176956.73840472038,0.75081392,1.000476612455209,0.0375439527906305,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
51,2023-01-29 11:00:00+00:00,6.289496485487713,187084.49114494777,0.0,1.0003682784207946,0.0106380364705745,100014470.0,100014470.0,0.0530388166543055,1674992579.0,364120.5174575927,177040.8783204382,364063.93963768776,0.0,176956.73840472038,0.48612188,1.000483837679247,0.0243105332344445,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
52,2023-01-29 12:00:00+00:00,6.347806361819631,184087.1711449478,0.0,1.0003697207082447,0.0110014902637429,100002304.0,100002304.0,0.0530902920157862,1674996755.0,364123.722082157,180042.53525666203,364066.61963768775,0.0,179955.28457016335,0.49435855,1.000487095928145,0.0247223361262902,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
53,2023-01-29 13:00:00+00:00,6.347806361819631,184087.1711449478,0.0,1.0003697207082447,0.0110014902637429,100002304.0,100002304.0,0.0530902920157862,1674996755.0,364123.722082157,180042.53525666203,364066.61963768775,0.0,179955.28457016335,0.49435855,1.000487095928145,0.0247223361262902,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
54,2023-01-29 14:00:00+00:00,6.347806361819631,146895.85270193947,0.0,1.0003697207082447,0.0110014902637429,99979239.0,99979239.0,0.0530902920157862,1675004315.0,364123.722082157,217235.32554292044,364066.61963768775,0.0,217128.2757835676,0.59651381,1.000487095928145,0.0247223361262902,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
55,2023-01-29 15:00:00+00:00,6.464823245401745,160467.9953206827,0.0,1.000372615087796,0.0148857932020974,99979239.0,99979239.0,0.0535946759920654,1675004819.0,377696.9175241678,217235.32554292044,377638.762256431,0.0,217128.2757835676,0.57507541,1.0004935023785593,0.0287574079365236,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
56,2023-01-29 16:00:00+00:00,6.464823245401745,159067.9953206827,0.0,1.000372615087796,0.0148857932020974,100001132.0,100001132.0,0.0535946759920654,1675008311.0,377696.9175241678,218636.12085339575,377638.762256431,0.0,218527.5807651831,0.57878265,1.0004935023785593,0.0287574079365236,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
57,2023-01-29 17:00:00+00:00,6.464823245401745,103817.0722658528,0.0,1.0003767466127762,0.0216082814165615,100048838.0,100048838.0,0.0543309570223744,1675013039.0,377698.4763715076,273888.1164509987,377638.762256431,0.0,273750.8891643065,0.72508894,1.0005011665479768,0.0346476561789951,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
58,2023-01-29 18:00:00+00:00,6.464823245401745,103817.0722658528,0.0,1.0003767466127762,0.0216082814165615,100048838.0,100048838.0,0.0543309570223744,1675013039.0,377698.4763715076,273888.1164509987,377638.762256431,0.0,273750.8891643065,0.72508894,1.0005011665479768,0.0346476561789951,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
59,2023-01-29 19:00:00+00:00,6.464823245401745,103817.0722658528,0.0,1.0003767466127762,0.0216082814165615,100048838.0,100048838.0,0.0543309570223744,1675013039.0,377698.4763715076,273888.1164509987,377638.762256431,0.0,273750.8891643065,0.72508894,1.0005011665479768,0.0346476561789951,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
60,2023-01-29 20:00:00+00:00,6.464823245401745,103817.0722658528,0.0,1.0003767466127762,0.0216082814165615,100048838.0,100048838.0,0.0543309570223744,1675013039.0,377698.4763715076,273888.1164509987,377638.762256431,0.0,273750.8891643065,0.72508894,1.0005011665479768,0.0346476561789951,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
61,2023-01-29 21:00:00+00:00,6.464823245401745,103817.0722658528,0.0,1.0003767466127762,0.0216082814165615,100048838.0,100048838.0,0.0543309570223744,1675013039.0,377698.4763715076,273888.1164509987,377638.762256431,0.0,273750.8891643065,0.72508894,1.0005011665479768,0.0346476561789951,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
62,2023-01-29 22:00:00+00:00,6.464823245401745,103817.0722658528,0.0,1.0003767466127762,0.0216082814165615,100048838.0,100048838.0,0.0543309570223744,1675013039.0,377698.4763715076,273888.1164509987,377638.762256431,0.0,273750.8891643065,0.72508894,1.0005011665479768,0.0346476561789951,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
63,2023-01-29 23:00:00+00:00,6.464823245401745,99712.0722658528,0.0,1.0003939343785135,0.0241852619357115,100008564.0,100008564.0,0.0545819374707497,1675035839.0,373599.9614110449,273888.1164509987,373533.762256431,0.0,273750.8891643065,0.7330574,1.0005275118537176,0.036655499765998,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
64,2023-01-30 00:00:00+00:00,7.482969772871902,99712.061316549,0.0,1.0003969809806608,0.024185323512951,100137092.0,100137092.0,0.0545819433037004,1675039907.0,373601.0984106076,273888.1164509987,373533.7513071272,0.0,273750.8891643065,0.73305742,1.0005321743921705,0.0366555464296037,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
65,2023-01-30 01:00:00+00:00,7.482969772871902,99712.061316549,0.0,1.0003969809806608,0.024185323512951,100137092.0,100137092.0,0.0545819433037004,1675039907.0,373601.0984106076,273888.1164509987,373533.7513071272,0.0,273750.8891643065,0.73305742,1.0005321743921705,0.0366555464296037,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0.0
66,2023-01-30 02:00:00+00:00,7.711755270838281,426683.2889448804,0.0,1.0004024128701317,0.0068781994306741,99978537.0,99978537.0,0.0524434932428831,1675046987.0,700574.3532466706,273888.1164509987,700504.9789354586,0.0,273750.8891643065,0.39089185,1.0005404081709488,0.0195479459430654,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
67,2023-01-30 03:00:00+00:00,0.0,99711.98686423618,0.0,1.0004026406647115,0.0241854477441308,99978537.0,99978537.0,0.0545819550715705,1675049291.0,373610.9431757308,273888.1164509987,373533.6768548144,0.0,273750.8891643065,0.73305757,1.000541055656072,0.0366556405725646,18.0,Dai Stablecoin,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1.0
